                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2014


NAME: Stapleton, Bristol                  
ELEV: 40 meters    LAT: 51-27.00 N    LONG: 002-35.00 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.0   16.8  14:17    7.9  05:36    2.0    0.0    0.0    2.4   19.3  14:29     70
 02   13.4   17.3  15:33   11.3  06:40    1.1    0.0    0.8    4.2   24.1  14:06     91
 03   11.6   13.7  12:05   10.2  23:04    2.1    0.0    2.0    2.2   19.3  13:22      5
 04   11.0   14.8  16:28    8.2  06:13    2.5    0.0    0.0    4.1   20.9  13:32    246
 05   11.6   13.8  15:04    8.6  02:38    2.2    0.0    1.8    7.8   29.0  14:03    178
 06   12.5   13.8  13:08   11.7  22:12    1.7    0.0    1.0   10.8   37.0  10:00    200
 07   11.2   13.7  13:15    8.3  22:03    2.4    0.0    2.4   11.7   37.0  06:11    220
 08    9.0   12.5  14:11    6.2  04:40    3.6    0.0    0.0    8.3   33.8  14:55    266
 09   10.2   14.3  14:04    7.3  05:23    2.9    0.0    0.0    5.6   29.0  13:12    249
 10    9.7   14.3  14:13    4.8  03:59    3.2    0.0    0.0    2.9   20.9  16:22    272
 11   10.3   16.2  14:43    3.3  05:15    2.9    0.0    0.0    1.8   19.3  16:50    317
 12    9.5   11.8  15:39    6.9  05:08    3.3    0.0    0.0    6.8   35.4  16:21    257
 13   10.2   13.8  16:13    5.9  05:46    2.9    0.0    0.0    5.9   29.0  17:57    262
 14   11.2   16.5  16:59    6.8  05:30    2.4    0.0    0.0    2.8   19.3  10:24    338
 15   10.3   15.4  14:26    4.4  05:39    2.9    0.0    0.0    4.4   25.7  14:42     84
 16   10.3   16.7  15:07    3.2  05:41    2.9    0.0    0.0    4.1   22.5  14:52    158
 17   10.5   14.7  11:20    5.3  04:32    2.8    0.0    0.0    4.8   25.7  15:27    268
 18   10.0   14.6  16:24    6.1  04:22    3.1    0.0    0.0    3.4   19.3  16:24     45
 19    8.1   13.1  16:02    2.1  05:43    4.1    0.0    0.0    3.9   27.4  08:21     59
 20    8.3   12.2  16:00    4.9  02:33    4.0    0.0    8.2    4.4   27.4  11:24     47
 21   11.8   18.3  14:09    5.7  05:30    2.0    0.0    5.6    2.7   17.7  10:10     71
 22   11.4   14.4  15:21    9.2  23:51    2.3    0.0    4.4    3.6   22.5  15:07    200
 23   11.2   13.8  14:08    8.7  23:34    2.4    0.0    0.0    6.9   29.0  12:03    146
 24   10.7   16.6  14:07    5.5  04:40    2.6    0.0    0.0    1.9   16.1  14:15    101
 25    9.7   13.1  17:15    6.9  03:55    3.2    0.0    8.2    1.9   22.5  00:00     97
 26   10.9   13.7  14:40    8.6  00:00    2.6    0.0    4.4   12.0   41.8  12:30    144
 27    9.8   13.3  12:44    7.5  05:12    3.2    0.0   11.2    3.6   25.7  08:50     64
 28   11.1   15.2  14:55    8.9  01:05    2.4    0.0    8.4    1.7   17.7  10:46     42
 29   11.6   16.6  15:04    7.6  04:57    2.2    0.0    0.2    1.6   17.7  15:46     70
 30   11.4   16.8  15:58    7.1  02:30    2.3    0.0    0.2    3.3   20.9  16:35    204
---------------------------------------------------------------------------------------
      10.7   18.3     21    2.1     19   80.1    0.0   58.8    4.7   41.8     26    196
    

