                   MONTHLY CLIMATOLOGICAL SUMMARY for May 2014


NAME: Stapleton, Bristol                  
ELEV: 40 meters    LAT: 51-27.00 N    LONG: 002-35.00 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.1   16.2  15:07    9.8  23:56    1.9    0.0    3.0    2.6   20.9  23:47    280
 02   10.2   12.7  14:47    7.9  23:59    2.9    0.0    0.0    2.6   17.7  05:40     42
 03   10.3   15.4  16:45    5.2  04:42    2.9    0.0    0.0    2.2   16.1  11:59     75
 04   10.8   16.1  15:30    5.3  05:07    2.6    0.0    0.0    3.8   24.1  11:21    197
 05   11.8   17.6  13:44    5.4  04:40    2.1    0.0    3.2    7.5   33.8  12:01    165
 06   12.3   16.3  14:11   10.1  05:23    1.8    0.0    5.0    6.7   27.4  08:03    241
 07   11.6   14.6  13:07    9.2  05:16    2.2    0.0    5.6   11.6   49.9  13:26    250
 08   11.8   13.7  12:30   10.2  04:51    2.0    0.0    1.6   10.3   46.7  14:46    245
 09   12.3   14.5  15:32   10.9  23:19    1.8    0.0    0.0   12.7   48.3  09:11    255
 10   11.8   14.0  13:33   10.2  22:06    2.0    0.0    4.2   15.4   62.8  15:42    244
 11   10.6   13.2  14:02    8.5  06:38    2.7    0.0    0.4   13.0   46.7  02:47    266
 12   11.0   14.1  15:35    8.0  05:02    2.5    0.0    1.8    6.9   37.0  15:07    266
 13   12.0   16.1  17:06    8.1  03:41    1.9    0.0    0.6    3.5   20.9  11:39    283
 14   13.2   18.7  13:03    6.8  02:20    1.3    0.0    0.0    2.9   22.5  16:52    269
 15   15.3   21.7  14:59    6.9  04:38    0.1    0.0    0.0    1.0   11.3  09:47     40
 16   16.6   22.7  15:21    9.4  04:03    0.0    0.6    0.0    1.6   14.5  12:17    266
 17   16.7   22.0  14:50   10.3  04:53    0.0    0.7    0.0    2.9   24.1  12:40    258
 18   16.8   22.3  15:05   10.2  02:56    0.0    0.7    0.0    5.8   33.8  12:10    171
 19   18.1   24.4  14:09   12.3  02:42    0.0    1.4    0.0    5.7   37.0  15:00    117
 20   15.1   18.4  13:06   10.1  23:58    0.2    0.0    1.0    7.2   32.2  17:31    151
 21   14.8   19.7  15:48    7.1  04:03    0.4    0.0    0.0    2.3   19.3  16:25     75
 22   13.3   16.9  13:58   11.1  04:53    1.2    0.0   21.6    2.6   27.4  12:47     81
 23   11.8   14.6  17:29   10.0  07:37    2.0    0.0    5.4    7.2   32.2  10:59    118
 24   10.7   12.1  11:26    9.3  01:48    2.7    0.0   15.6    2.6   27.4  13:38    159
 25   12.8   16.4  13:28    9.1  23:55    1.5    0.0    1.0    8.4   37.0  14:26    177
 26   12.5   17.2  12:10    7.3  04:38    1.7    0.0    0.4    1.2   11.3  17:28    109
 27   13.2   18.4  11:27   10.5  23:00    1.3    0.0    5.0    1.0   12.9  08:40    323
 28   11.9   14.4  14:46   10.1  05:26    2.0    0.0    4.8    2.2   16.1  14:10    299
 29   13.6   18.0  14:16   11.3  04:01    1.1    0.0    7.0    1.8   16.1  06:06     23
 30   13.5   15.8  15:15   11.9  05:19    1.1    0.0    1.2    1.8   14.5  03:48     43
 31   14.8   18.7  15:08   11.9  04:16    0.4    0.0    0.0    1.4   12.9  12:03    258
---------------------------------------------------------------------------------------
      13.0   24.4     19    5.2     03   46.3    3.4   88.4    5.1   62.8     10    231
    

