                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2015


NAME: Stapleton, Bristol                  
ELEV: 40 meters    LAT: 51-27.00 N    LONG: 002-35.00 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   11.4   12.9  15:15    9.3  00:01    2.3    0.0    3.0   11.4   46.7  16:35    211
 02    8.0   12.6  00:07    5.1  18:27    4.2    0.0    1.0    6.1   38.6  00:43    268
 03    5.3    7.4  11:30    3.9  23:06    5.7    0.0   13.4    2.1   22.5  07:58     54
 04    3.7    6.3  23:55    0.6  03:50    6.6    0.0    0.0    1.6   17.7  22:51    161
 05    8.4   10.2  12:36    6.3  00:01    4.0    0.0    0.0    2.9   20.9  12:37    194
 06    7.6   10.0  08:42    3.8  21:16    4.4    0.0    0.8    5.3   35.4  11:08    240
 07    7.6   10.6  23:53    4.4  05:51    4.4    0.0    1.4    9.0   40.2  14:37    214
 08    8.8   11.0  01:28    7.1  10:07    3.7    0.0   12.4    7.1   33.8  09:15    246
 09   11.3   13.6  15:17    7.7  00:05    2.3    0.0    1.2   17.4   61.2  19:09    251
 10    8.9   12.8  05:50    4.7  23:57    3.6    0.0    0.0   14.4   59.5  06:07    260
 11    6.6    9.2  13:59    4.5  00:14    4.9    0.0    1.2   10.7   41.8  19:01    253
 12    9.6   11.5  22:10    7.0  00:01    3.3    0.0   11.6   11.4   43.5  10:06    228
 13    5.5    8.9  00:01    1.8  21:13    5.6    0.0    3.0    6.6   35.4  22:51    233
 14    5.1   10.4  23:41    0.8  04:24    5.8    0.0    5.8   10.6   59.5  23:04    207
 15    6.3   10.8  01:07    2.5  20:34    5.1    0.0    3.4   13.7   59.5  00:55    231
 16    3.9    7.2  12:39   -0.4  23:59    6.4    0.0    0.0    3.4   27.4  01:20    257
 17    2.8    5.4  13:48   -0.5  00:01    7.1    0.0    5.0    2.7   19.3  08:11    216
 18    3.6    6.2  15:05    0.6  08:51    6.6    0.0    1.0    1.2   17.7  19:32    322
 19    1.5    4.8  15:09   -1.2  08:20    7.8    0.0    0.0    1.1   14.5  01:56    299
 20    2.0    4.6  23:28   -1.3  07:21    7.5    0.0    2.6    4.7   25.7  20:08    119
 21    4.1    5.9  11:58    2.2  07:42    6.3    0.0    3.8    2.2   14.5  00:07    115
 22    2.3    5.1  13:45   -1.7  22:40    7.3    0.0    0.0    1.1    9.7  03:08     43
 23    2.8    9.3  23:53   -3.6  05:53    7.0    0.0    0.8    4.3   24.1  11:47    209
 24    5.2    9.3  00:01    2.1  23:57    5.7    0.0    0.4    3.7   30.6  00:03    285
 25    6.0    9.1  22:00    1.0  02:39    5.3    0.0    0.0    4.1   27.4  22:12    231
 26    7.9    9.4  07:01    5.0  22:39    4.2    0.0    0.0    5.7   32.2  02:25    270
 27    6.7    8.2  13:50    5.1  01:04    4.9    0.0    0.0    5.3   22.5  13:09    263
 28    6.3    9.4  08:14    3.4  20:04    5.1    0.0    0.4   11.4   59.5  08:55    257
 29    3.7    6.2  12:46    0.9  16:20    6.5    0.0    0.2    7.2   35.4  16:06    267
 30    4.7    7.7  13:36    2.6  23:54    6.0    0.0    0.8    6.9   40.2  01:52    277
 31    4.1    6.5  14:43    2.4  01:36    6.3    0.0    0.2    7.0   30.6  10:40    291
---------------------------------------------------------------------------------------
       5.9   13.6     09   -3.6     23  165.9    0.0   73.4    6.5   61.2     09    243
    

