                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2015


NAME: Stapleton, Bristol                  
ELEV: 40 meters    LAT: 51-27.00 N    LONG: 002-35.00 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    3.3    5.6  14:02   -0.7  23:59    6.8    0.0    0.0    6.0   30.6  06:51    295
 02    1.0    4.1  15:53   -1.6  04:53    8.0    0.0    0.0    0.9   12.9  14:56    293
 03    1.3    5.1  14:58   -1.1  06:39    7.9    0.0    0.0    1.6   22.5  14:37     29
 04    1.9    6.1  13:33   -1.7  01:01    7.6    0.0    0.0    1.8   22.5  13:36     23
 05    1.6    4.6  12:17   -0.8  04:06    7.7    0.0    0.0    1.2   24.1  12:42     29
 06    0.7    4.9  15:14   -2.5  03:56    8.2    0.0    0.2    2.1   25.7  12:46     34
 07    1.9    4.2  12:34   -0.5  03:37    7.5    0.0    0.0    1.7   17.7  13:52     33
 08    3.1    9.1  15:21   -0.6  00:29    6.9    0.0    0.0    0.7    9.7  04:58    310
 09    1.8    8.8  15:52   -2.7  08:05    7.6    0.0    0.2    0.4   12.9  11:41     52
 10    3.8    6.1  15:37    1.4  00:01    6.5    0.0    0.0    1.7   14.5  19:27    110
 11    4.9    5.7  12:57    4.3  04:01    5.9    0.0    0.0    1.1   11.3  13:36    128
 12    4.4    6.4  15:45    3.7  07:00    6.2    0.0    0.0    2.9   22.5  22:56    133
 13    6.8    9.4  15:09    3.9  00:00    4.8    0.0    1.2    8.6   35.4  10:35    152
 14    6.0    9.4  13:53    3.6  04:10    5.3    0.0    0.6    1.1   17.7  13:26     56
 15    6.0    7.8  12:21    3.9  07:30    5.3    0.0    0.0    1.1   12.9  03:24     99
 16    6.0    7.8  14:25    3.1  23:42    5.3    0.0    4.8    3.0   22.5  15:49    210
 17    4.8    9.2  15:30    1.6  01:38    6.0    0.0    0.0    2.0   19.3  16:34    266
 18    7.2   10.6  14:45    4.2  07:19    4.6    0.0    0.0    6.3   27.4  20:00    217
 19    7.5    8.8  15:28    5.9  23:59    4.5    0.0    8.6    7.2   35.4  10:11    213
 20    4.9    7.2  15:07    2.3  08:00    5.9    0.0    0.8    1.6   14.5  01:24    268
 21    4.1    7.3  13:39    1.2  23:03    6.3    0.0    0.0    3.6   24.1  14:47    277
 22    4.3    9.6  20:40   -1.4  05:20    6.2    0.0    2.6    7.3   51.5  14:35    222
 23    4.5    6.4  00:04    1.8  07:44    6.1    0.0    3.8    9.8   43.5  16:17    240
 24    6.5    9.4  13:37    4.4  02:27    5.0    0.0    2.4    9.6   40.2  00:11    268
 25    9.0   11.7  13:59    6.9  00:00    3.6    0.0    0.4    5.1   27.4  23:39    245
 26    8.3   10.7  09:55    3.3  23:58    4.0    0.0    4.4    6.8   32.2  10:45    259
 27    5.4    9.4  15:03    1.8  07:14    5.6    0.0    0.0    5.0   25.7  12:18    246
 28    9.2   11.4  14:39    5.8  00:00    3.5    0.0    2.0    9.8   46.7  21:12    221
---------------------------------------------------------------------------------------
       4.6   11.7     25   -2.7     09  168.8    0.0   32.0    3.9   51.5     22    238
    

