                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2015


NAME: Stapleton, Bristol                  
ELEV: 40 meters    LAT: 51-27.00 N    LONG: 002-35.00 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    7.3   10.3  14:16    4.1  22:32    4.6    0.0    1.8   10.3   49.9  01:34    255
 02    4.9    7.8  14:40    1.8  04:49    5.9    0.0    3.0    9.4   38.6  10:35    254
 03    4.9    7.4  12:58    2.8  07:30    5.9    0.0    3.4    7.5   38.6  11:47    257
 04    6.2   10.4  15:22    3.4  23:51    5.2    0.0    0.0    6.1   29.0  06:52    282
 05    5.9   10.5  13:45    0.0  04:33    5.3    0.0    0.0    4.5   30.6  13:01    255
 06    8.5   12.4  15:40    5.6  06:18    3.9    0.0    0.0    7.8   32.2  11:53    209
 07    9.8   15.2  14:00    6.8  23:59    3.1    0.0    0.0    8.0   32.2  09:32    212
 08    7.8   11.3  14:55    2.1  23:59    4.3    0.0    0.2    4.7   24.1  12:44    229
 09    6.9   11.1  17:47    1.2  02:29    4.8    0.0    1.2    5.7   33.8  12:11    205
 10    7.1   12.1  14:34    2.6  07:26    4.7    0.0    0.0    1.0   11.3  12:13     72
 11    8.1   11.2  11:25    3.5  01:16    4.1    0.0    0.0    6.1   33.8  09:57    139
 12   10.1   14.1  12:49    8.6  02:24    3.0    0.0    0.0    7.3   32.2  12:07    135
 13    5.6    8.6  00:00    3.7  07:41    5.5    0.0    6.4    3.6   25.7  04:04     20
 14    4.7    8.0  13:47    2.7  05:41    6.0    0.0    0.0    3.4   20.9  02:33     38
 15    5.7    8.1  12:12    3.7  00:00    5.5    0.0    0.0    3.7   24.1  10:18     48
 16    5.6    7.4  14:11    4.6  06:11    5.5    0.0    0.2    2.4   17.7  09:46     71
 17    6.7   12.0  15:30    3.6  07:43    4.9    0.0    0.0    1.0   12.9  11:40     40
 18    5.7   10.8  15:12    1.6  05:08    5.5    0.0    0.2    1.8   20.9  15:50     29
 19    5.0    9.7  15:56    1.8  06:04    5.8    0.0    0.0    1.6   17.7  14:09     33
 20    8.0   14.7  16:03    3.8  01:16    4.2    0.0    0.0    1.3   14.5  13:36    351
 21    7.5   11.3  15:50    3.9  03:38    4.5    0.0    0.0    2.4   24.1  15:16     34
 22    6.3   10.7  16:01    2.9  23:30    5.1    0.0    0.0    1.5   16.1  00:27     66
 23    5.9    8.9  14:32    2.2  05:10    5.4    0.0    1.0    2.5   20.9  14:10    254
 24    5.4    9.2  14:50    2.0  23:57    5.6    0.0    5.4    1.8  313.8  15:42    285
 25    5.2   10.1  17:00    0.5  03:20    5.7    0.0    0.4    1.2   20.9  23:18    209
 26    8.4   12.2  12:13    4.1  01:54    4.0    0.0    2.0    8.6   40.2  16:24    267
 27    8.0   11.8  15:01    2.8  06:38    4.2    0.0    0.0    3.7   22.5  11:40    212
 28   10.5   13.7  09:41    8.4  00:00    2.8    0.0    0.8   12.1   51.5  16:51    243
 29   10.1   12.1  13:28    8.1  23:57    3.0    0.0    0.4   16.2   64.4  11:10    257
 30    8.7   11.2  18:39    6.1  04:36    3.8    0.0    0.2   12.1   56.3  23:28    255
 31    9.4   11.9  13:12    5.8  20:26    3.4    0.0    0.0   16.2   59.5  01:58    275
---------------------------------------------------------------------------------------
       7.1   15.2     07    0.0     05  144.9    0.0   26.6    5.7  313.8     24    250
    

