                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2014


NAME: Stapleton, Bristol                  
ELEV: 40 meters    LAT: 51-27.00 N    LONG: 002-35.00 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   15.0   19.5  15:11   10.1  03:50    0.3    0.0    0.0    3.1   22.5  13:46    256
 02   14.4   18.3  15:16   11.2  02:26    0.6    0.0    1.6    2.8   22.5  16:39    205
 03   14.3   17.6  14:15   12.3  23:33    0.6    0.0    0.0    4.7   27.4  13:54    245
 04   10.4   12.3  00:01    8.8  17:57    2.8    0.0   28.4    3.7   24.1  09:56    266
 05   13.5   17.5  15:31    9.8  04:24    1.1    0.0    0.0    5.3   27.4  09:31    255
 06   11.8   16.7  10:10    8.6  01:40    2.1    0.0    0.0    2.9   24.1  10:10     98
 07    N/A    N/A    N/A    N/A    N/A    0.0    0.0    0.0    N/A    0.0  00:01     90
 08    N/A    N/A    N/A    N/A    N/A    0.0    0.0    0.0    N/A    0.0  00:01     90
 09    N/A    N/A    N/A    N/A    N/A    0.0    0.0    0.0    N/A    0.0  00:01     90
 10    N/A    N/A    N/A    N/A    N/A    0.0    0.0    0.0    N/A    0.0  00:01     90
 11    N/A    N/A    N/A    N/A    N/A    0.0    0.0    0.0    N/A    0.0  00:01     90
 12    N/A    N/A    N/A    N/A    N/A    0.0    0.0    0.0    N/A    0.0  00:01     90
 13    N/A    N/A    N/A    N/A    N/A    0.0    0.0    0.0    N/A    0.0  00:01     90
 14    N/A    N/A    N/A    N/A    N/A    0.0    0.0    0.0    N/A    0.0  00:01     90
 15    N/A    N/A    N/A    N/A    N/A    0.0    0.0    0.0    N/A    0.0  00:01     90
 16   16.8   19.7  12:27   13.8  04:34    0.0    0.7    0.0    2.5   20.9  11:51     39
 17   17.0   22.3  15:05   10.6  03:40    0.0    0.8    0.0    3.0   24.1  13:40     32
 18   19.0   24.2  16:17   13.8  03:06    0.0    2.0    0.0    1.9   16.1  11:04     20
 19   19.0   23.2  14:03   13.8  04:41    0.0    1.9    0.0    2.7   19.3  11:33     45
 20   18.4   23.9  15:43   11.6  04:26    0.0    1.6    0.0    2.2   17.7  20:05    261
 21   18.0   23.8  16:16   11.1  04:05    0.0    1.4    0.0    2.0   16.1  13:44     22
 22   19.1   25.1  16:16   11.9  04:36    0.0    2.0    0.0    1.4   12.9  12:36    325
 23   20.0   26.8  13:39   14.3  04:35    0.0    2.5    0.0    1.9   17.7  16:00    320
 24   19.1   24.3  13:25   13.3  04:01    0.0    2.0    0.0    2.5   20.9  23:10    347
 25   17.3   22.6  16:17   12.7  03:52    0.0    1.0    0.0    3.9   22.5  13:00     80
 26   15.8   20.5  13:04   13.6  23:47    0.0    0.2    2.8    3.9   24.1  10:21    108
 27   15.3   19.3  17:13   12.8  23:56    0.1    0.0    6.4    3.5   24.1  13:09    212
 28   14.6   18.7  14:39   11.5  03:12    0.5    0.0    6.0    1.5   17.7  19:46     78
 29   15.9   20.2  12:04   12.1  02:29    0.0    0.2    0.0    2.1   17.7  15:55    332
 30   16.3   19.8  13:25   11.1  04:45    0.0    0.4    0.0    2.5   19.3  12:39    108
---------------------------------------------------------------------------------------
      16.4   26.8     23    8.6     06    8.1   16.7   45.2    2.9   27.4     03    278
    

