                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2014


NAME: Stapleton, Bristol                  
ELEV: 40 meters    LAT: 51-27.00 N    LONG: 002-35.00 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   16.8   21.1  16:20   12.9  23:52    0.0    0.7    0.6    3.6   20.9  13:34    233
 02   16.1   21.3  17:10    9.7  04:58    0.0    0.3    0.0    1.8   14.5  13:02     79
 03   17.6   22.3  14:37   13.6  04:54    0.0    1.2    0.0    2.6   14.5  12:02     61
 04   16.4   21.3  15:24   11.5  05:13    0.0    0.5    0.0    1.5   16.1  07:36     60
 05   18.4   22.3  14:59   16.2  06:59    0.0    1.6    0.0    0.7    9.7  13:57    350
 06   17.2   22.2  14:59   14.4  23:34    0.0    1.0    0.4    0.5   11.3  22:52     18
 07   15.8   20.9  16:04   11.9  04:29    0.0    0.1    0.0    1.4   14.5  11:44     31
 08   15.0   22.3  15:31    8.7  05:44    0.3    0.0    0.0    1.0   11.3  13:05      5
 09   15.5   22.7  14:29    8.9  05:31    0.0    0.0    0.0    0.7   11.3  13:20    274
 10   15.8   21.3  13:58    9.4  05:15    0.0    0.1    0.0    1.9   17.7  12:13     90
 11   14.6   18.3  14:00   10.1  03:38    0.5    0.0    0.0    2.3   17.7  11:41     65
 12   15.5   21.5  16:11   10.7  04:42    0.0    0.0    0.0    1.8   16.1  12:50     69
 13   15.2   20.2  15:45   10.6  05:25    0.2    0.0    0.0    2.5   19.3  14:39     58
 14   15.6   21.4  15:08   10.0  05:52    0.0    0.0    0.0    3.3   24.1  16:09     57
 15   15.5   20.4  15:50   12.6  06:21    0.0    0.0    0.0    1.7   16.1  00:08     38
 16   17.0   23.7  15:51   12.3  02:51    0.0    0.8    0.2    2.3   20.9  16:01     61
 17   18.0   22.2  14:43   14.9  01:41    0.0    1.4    0.0    5.6   24.1  08:24     58
 18   19.0   24.3  15:00   15.5  05:42    0.0    1.9    6.4    3.6   22.5  12:03     58
 19   17.0   18.8  14:40   15.8  05:43    0.0    0.9    5.8    1.2   14.5  03:49     46
 20   17.6   20.0  12:26   15.5  23:44    0.0    1.1    0.0    1.4   14.5  15:24     28
 21   14.4   18.7  12:42    9.1  23:32    0.6    0.0    0.0    1.7   17.7  13:18     29
 22   12.8   20.3  15:04    5.6  05:38    1.5    0.0    0.0    1.1   14.5  14:51    272
 23   13.0   18.1  12:40    6.7  06:11    1.4    0.0    0.2    2.4   19.3  16:48    256
 24   14.3   18.6  13:30    8.9  23:47    0.6    0.0    0.6    3.0   24.1  17:25    289
 25   13.8   18.3  12:42    6.8  03:36    1.0    0.0    0.0    4.6   30.6  11:01    248
 26   17.1   21.1  15:39   15.1  02:19    0.0    0.9    0.0    3.5   20.9  13:35    250
 27   16.9   19.9  12:03   13.4  05:54    0.0    0.8    0.0    0.5    9.7  12:24    180
 28   17.4   22.7  13:28   12.7  06:48    0.0    1.0    0.0    0.7   11.3  11:10     72
 29   15.1   18.9  15:55   12.1  06:23    0.2    0.0    0.0    1.0   14.5  16:50    221
 30   15.9   20.8  15:12   10.8  06:28    0.0    0.2    0.4    3.8   22.5  12:18    200
---------------------------------------------------------------------------------------
      16.0   24.3     18    5.6     22    6.3   14.7   14.6    2.1   30.6     25     47
    

