                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2014


NAME: Stapleton, Bristol                  
ELEV: 40 meters    LAT: 51-27.00 N    LONG: 002-35.00 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   15.6   18.2  14:21   12.8  06:38    0.0    0.0    0.4    2.7   22.5  13:39    246
 02   15.8   20.3  15:10   11.9  06:54    0.0    0.1    0.0    1.5   14.5  14:09    181
 03   15.9   19.9  14:52   13.1  05:23    0.0    0.2    0.0    6.5   27.4  10:16    196
 04   12.6   16.4  05:04    5.9  23:56    1.6    0.0    6.6    4.3   33.8  05:17    250
 05   10.5   15.5  13:03    4.3  04:15    2.8    0.0    0.0    3.8   24.1  22:50    151
 06   11.8   15.5  13:05    7.6  21:21    2.1    0.0   10.6    6.1   41.8  06:04    155
 07    9.8   13.1  11:46    7.1  06:04    3.2    0.0    5.0    3.9   35.4  12:27    230
 08   12.1   16.1  13:17    8.4  01:22    1.9    0.0    6.2    6.3   40.2  13:15    188
 09   13.6   16.1  12:06   10.7  23:56    1.0    0.0    0.4    9.4   40.2  10:05    213
 10   12.5   17.5  13:39    8.4  23:58    1.7    0.0    1.0    3.7   27.4  12:52    211
 11   10.7   16.1  13:23    6.8  23:35    2.6    0.0    2.8    1.3   25.7  13:56    237
 12    8.6   11.1  12:45    4.9  06:41    3.8    0.0    3.0    1.3   29.0  23:04     32
 13   10.7   11.3  15:08   10.0  00:01    2.7    0.0   10.2    4.8   30.6  08:41    354
 14   10.6   11.3  01:32    9.9  07:42    2.7    0.0   13.6    1.9   19.3  00:03    298
 15   11.8   13.8  17:00    9.8  23:38    2.1    0.0    4.4    2.7   27.4  13:00    105
 16   13.9   17.5  13:20    9.9  06:41    0.9    0.0    3.2    3.0   24.1  13:43    169
 17   15.8   18.1  11:47   13.1  03:37    0.0    0.2    2.8    7.3   37.0  23:07    164
 18   17.0   18.1  14:21   15.8  23:59    0.0    0.9    0.6    9.5   33.8  01:29    191
 19   15.3   17.8  14:01   13.3  22:49    0.1    0.0    1.4    8.2   33.8  12:08    235
 20   12.9   15.2  11:51   11.4  21:23    1.4    0.0    1.6    6.2   30.6  12:24    230
 21   11.5   13.9  05:23    8.8  21:49    2.2    0.0    1.8   11.6   59.5  04:43    269
 22   11.4   13.3  10:33    8.6  03:12    2.3    0.0    0.0    4.9   25.7  11:41    262
 23   13.6   16.3  14:30   11.4  06:53    1.1    0.0    0.4    5.9   27.4  11:56    215
 24   13.3   16.1  13:23    9.8  23:42    1.2    0.0    1.6    3.0   20.9  14:59    220
 25   12.0   14.8  13:53    9.9  00:01    2.0    0.0    0.2    5.3   30.6  11:04    221
 26   13.6   15.2  14:48   11.9  00:01    1.1    0.0    0.0    7.7   30.6  11:33    216
 27   14.7   15.7  14:52   13.4  23:08    0.4    0.0    0.0    6.0   32.2  06:42    185
 28   15.6   18.8  12:12   12.6  03:24    0.0    0.0    0.0    5.3   25.7  01:33    192
 29   11.0   14.9  00:01    8.9  11:12    2.5    0.0    2.4    1.0   19.3  01:49     31
 30   15.7   17.9  15:12   13.9  00:01    0.0    0.1    0.0    5.3   24.1  12:43    167
 31   17.4   21.2  11:46   14.8  07:37    0.0    1.0    0.0    7.5   33.8  12:28    168
---------------------------------------------------------------------------------------
      13.1   21.2     31    4.3     05   43.3    2.6   80.2    5.1   59.5     21    209
    

