                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2014


NAME: Stapleton, Bristol                  
ELEV: 40 meters    LAT: 51-27.00 N    LONG: 002-35.00 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   14.1   17.4  00:01   11.3  07:23    0.8    0.0    0.6    9.1   38.6  19:24    204
 02   12.6   14.8  13:46    9.9  23:25    1.6    0.0    7.8    6.3   32.2  01:22    216
 03    9.0   11.4  14:54    7.0  23:59    3.6    0.0    2.8    4.6   27.4  01:03    208
 04    5.7    9.6  13:10    2.5  07:12    5.4    0.0    6.6    0.5   17.7  13:20    288
 05    6.9   11.4  14:21    2.0  23:43    4.8    0.0    0.2    0.7   20.9  11:34     11
 06    8.6   13.3  23:35    1.8  01:40    3.8    0.0    0.2    7.4   37.0  14:11    145
 07   10.1   13.4  00:42    7.7  12:17    3.0    0.0   11.8    7.5   40.2  09:58    215
 08    9.7   13.1  14:01    6.4  00:00    3.2    0.0    8.4    5.6   35.4  11:33    189
 09    7.7   12.7  14:23    2.4  07:47    4.4    0.0    0.0    1.0   17.7  11:32    197
 10   10.2   12.9  14:56    7.4  06:00    2.9    0.0    3.8    5.6   27.4  13:29    151
 11   11.3   12.2  17:28   10.6  04:30    2.3    0.0    1.4    9.9   29.0  03:26    118
 12   10.6   13.4  14:19    8.8  21:47    2.7    0.0    3.6    5.4   27.4  00:32    156
 13   12.0   14.3  15:06    9.1  00:01    2.0    0.0    0.2   10.3   46.7  12:09    130
 14   11.9   14.1  14:10    9.3  23:25    2.0    0.0    8.0    7.4   38.6  02:21    138
 15    8.4   10.0  00:27    5.8  07:47    4.0    0.0    0.6    1.4   17.7  00:12     87
 16    9.5   11.4  13:56    7.9  00:01    3.3    0.0    0.2    2.8   17.7  11:30     47
 17    8.6    9.7  13:22    7.1  22:24    3.8    0.0    8.4    2.1   19.3  14:04    344
 18    8.3   12.2  14:20    6.1  20:46    4.0    0.0    0.0    2.1   17.7  07:31     59
 19    9.6   11.8  11:49    7.1  08:02    3.3    0.0    2.4    4.1   24.1  11:33     95
 20    8.9   10.1  12:19    7.6  08:34    3.7    0.0    0.0    2.1   16.1  01:50     63
 21    8.4   11.6  23:57    6.9  07:46    4.0    0.0    8.6    4.4   22.5  18:30     95
 22   12.4   14.4  11:21    9.6  18:39    1.7    0.0    1.8    2.8   19.3  05:56    159
 23    7.4   10.0  00:01    2.2  23:25    4.5    0.0    5.4    0.3   11.3  04:35    306
 24    3.1    9.8  13:50   -0.6  05:13    6.9    0.0    0.2    0.1    4.8  14:01     59
 25    2.4    5.3  23:33   -0.8  05:09    7.3    0.0   13.8    0.9   12.9  21:00     38
 26    6.8    7.4  15:37    5.3  00:01    4.8    0.0    1.2    0.6    9.7  04:46     17
 27    7.8    9.6  14:04    5.9  09:24    4.3    0.0    0.2    2.0   19.3  19:13     89
 28   10.3   11.9  14:04    8.4  00:01    2.9    0.0    0.6    6.1   29.0  10:03     67
 29    9.4   13.3  14:00    5.8  22:52    3.4    0.0    0.2    1.0   12.9  01:04     57
 30    8.5   10.9  15:24    6.7  00:12    3.9    0.0    0.2    0.4   12.9  15:14     25
---------------------------------------------------------------------------------------
       9.0   17.4     01   -0.8     25  108.2    0.0   99.2    3.8   46.7     13    141
    

