                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2014


NAME: Stapleton, Bristol                  
ELEV: 40 meters    LAT: 51-27.00 N    LONG: 002-35.00 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    7.3    8.3  05:11    6.0  01:21    4.5    0.0    0.0    0.7   11.3  08:41     35
 02    6.5    8.4  09:30    1.7  00:00    5.0    0.0    0.0    3.1   25.7  05:55     13
 03    3.1    6.6  14:25   -0.9  06:37    6.9    0.0    0.0    1.1   14.5  11:12     35
 04    3.9    4.7  12:18    2.9  03:03    6.4    0.0    0.0    0.5   11.3  10:04     41
 05    4.8    8.7  14:11    1.6  05:14    5.9    0.0    0.0    1.9   20.9  15:02    291
 06    4.3    8.6  13:39   -1.1  07:23    6.2    0.0    0.0    1.1   16.1  23:57    207
 07    7.4    9.8  09:16    4.3  21:17    4.5    0.0    1.8    6.9   33.8  12:20    257
 08    4.9    7.2  12:55    2.8  06:02    5.9    0.0    0.2    4.1   30.6  14:41    269
 09    6.2   11.4  23:31   -0.3  06:39    5.2    0.0    1.6    7.4   51.5  22:52    219
 10    7.7   10.8  00:01    6.3  08:13    4.3    0.0    0.2   10.3   45.1  04:05    268
 11    7.7    8.6  14:40    6.3  07:25    4.3    0.0    5.6   12.2   46.7  09:25    257
 12    6.3    9.6  03:31    1.1  23:57    5.1    0.0    5.0    6.5   45.1  02:21    249
 13    2.6    7.4  13:59   -1.1  08:35    7.2    0.0    0.0    0.3    9.7  13:17    270
 14    6.9    9.4  13:43    2.0  00:01    4.8    0.0    0.6    7.3   29.0  18:49    217
 15    6.7    9.4  13:40    4.4  20:40    4.9    0.0    0.2    1.8   17.7  03:44    242
 16    5.6    9.3  00:00    1.8  07:22    5.5    0.0    4.4    2.5   29.0  23:13    218
 17   11.3   12.3  12:25    9.2  00:01    2.4    0.0    0.4   10.7   41.8  01:34    260
 18   11.8   12.7  15:09   11.2  08:01    2.1    0.0    0.8   14.9   48.3  09:08    245
 19    9.0   11.7  00:01    6.9  20:01    3.6    0.0    4.0    8.7   49.9  03:23    262
 20    7.9    9.2  14:59    6.3  21:29    4.2    0.0    0.0    6.1   35.4  04:42    267
 21    9.1   12.2  23:47    6.8  00:04    3.6    0.0    1.0    9.0   35.4  17:46    236
 22   11.7   12.2  00:01   11.2  22:09    2.1    0.0    0.0   14.3   49.9  20:21    245
 23   10.7   11.8  01:17    9.5  22:07    2.7    0.0    3.0   12.6   40.2  00:30    230
 24    8.2   11.1  01:12    5.8  21:31    4.1    0.0    1.8    5.8   30.6  00:47    261
 25    5.9    8.9  14:14    2.0  00:00    5.3    0.0    0.0    2.9   24.1  14:24    272
 26    4.3    9.8  21:33    0.2  03:51    6.2    0.0    6.8    4.8   38.6  22:51    232
 27    4.2    7.3  12:42    2.9  00:00    6.3    0.0    0.0    6.3   35.4  00:05    295
 28    1.5    5.5  14:35   -3.1  23:44    7.8    0.0    0.0    1.0   19.3  01:54     30
 29   -0.0    6.6  13:35   -4.0  06:46    8.6    0.0    0.2    0.2    9.7  13:23    266
 30    1.4    7.8  14:51   -4.1  04:00    7.8    0.0    0.2    0.8   17.7  13:47    229
 31    6.2   10.4  14:33    0.8  06:21    5.2    0.0    0.2    3.9   24.1  15:08    192
---------------------------------------------------------------------------------------
       6.3   12.7     18   -4.1     30  158.5    0.0   38.0    5.5   51.5     09    251
    

